Designator,Val,Package,MidX,MidY,Rotation,Layer
BOOT1,BOOTSEL,SW_SPST_TL3342,123.527655,29.7657,180,bottom
C1,1u,C_0402_1005Metric,94.059612,61.442656,90,bottom
C2,1u,C_0402_1005Metric,87.991158,61.912656,180,bottom
C3,22p,C_0402_1005Metric,107.547554,16.277758,45,bottom
C4,22p,C_0402_1005Metric,103.738399,15.836208,135,bottom
C5,1u,C_0402_1005Metric,110.728404,37.984782,90,bottom
C6,1u,C_0402_1005Metric,102.394008,32.031642,90,bottom
C7,100n,C_0402_1005Metric,106.561206,33.932898,90,bottom
C8,100n,C_0402_1005Metric,101.20338,19.645362,-135,bottom
C9,10u,C_0603_1608Metric,99.302124,35.633526,90,bottom
C10,1u,C_0402_1005Metric,98.822124,28.9282,180,bottom
C11,100n,C_0402_1005Metric,101.20338,32.031642,90,bottom
C12,100n,C_0402_1005Metric,104.775264,33.337584,90,bottom
C13,100n,C_0402_1005Metric,110.13309,28.9282,0,bottom
C14,100n,C_0402_1005Metric,98.822124,25.003188,180,bottom
C15,100n,C_0402_1005Metric,110.13309,25.3282,0,bottom
C16,100n,C_0402_1005Metric,101.798694,19.050048,-135,bottom
D1,BAV70,SOT-23,26.78913,49.411062,-90,bottom
D2,BAV70,SOT-23,22.026618,30.361014,-90,bottom
D3,BAV70,SOT-23,17.264106,11.310966,-90,bottom
D4,BAV70,SOT-23,64.889226,49.411062,-90,bottom
D5,BAV70,SOT-23,60.126714,30.361014,-90,bottom
D6,BAV70,SOT-23,55.364202,11.310966,-90,bottom
D7,BAV70,SOT-23,122.03937,49.411062,-90,bottom
D8,BAV70,SOT-23,95.25024,30.361014,-90,bottom
D9,BAV70,SOT-23,125.611254,11.310966,-90,bottom
D10,BAV70,SOT-23,141.089418,49.411062,-90,bottom
D11,BAV70,SOT-23,145.85193,30.361014,-90,bottom
D12,BAV70,SOT-23,150.614442,11.310966,-90,bottom
D13,BAV70,SOT-23,179.189514,49.411062,-90,bottom
D14,BAV70,SOT-23,183.952026,30.361014,-90,bottom
D15,BAV70,SOT-23,188.714538,11.310966,-90,bottom
F1,500mA,Fuse_1206_3216Metric,97.036182,60.962656,180,bottom
J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,104.775264,64.293912,0,bottom
MX19,CPG151101S11,MXOnly-2U-Hotswap,104.775264,9.525024,0,bottom
MX22,CPG151101S11,MXOnly-1U-Hotswap,142.895191,19.050048,180,bottom
MX25,CPG151101S11,MXOnly-1U-Hotswap,161.945239,19.050048,180,bottom
MX28,CPG151101S11,MXOnly-1U-Hotswap,180.975456,19.050048,180,bottom
MX31,CPG151101S11,MXOnly-1U-Hotswap,200.005673,19.050048,180,bottom
R1,5k1,R_0402_1005Metric,103.525264,57.745458,-90,bottom
R2,5k1,R_0402_1005Metric,106.525264,57.745458,90,bottom
R3,27,R_0402_1005Metric,104.17995,35.633526,90,bottom
R4,27,R_0402_1005Metric,102.989322,35.633526,90,bottom
R5,1k,R_0402_1005Metric,104.17995,19.645362,45,bottom
R6,5k1,R_0402_1005Metric,122.03937,34.13727,-90,bottom
R7,5k1,R_0402_1005Metric,120.848742,34.13727,90,bottom
R8,1k,R_0402_1005Metric,119.658114,34.13727,-90,bottom
R9,5k1,R_0402_1005Metric,89.47053,19.645362,90,bottom
RESET1,RESET,SW_SPST_TL3342,86.32053,23.103188,0,bottom
U1,SRV05-4,SOT-23-6-routable,104.775264,44.64855,180,bottom
U2,XC6206P332MR,SOT-23-3,91.083042,60.962656,0,bottom
U3,W25Q128JVSIM,SOIC-8_5.23x5.23mm_P1.27mm,113.704974,32.74227,135,bottom
U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,104.775264,26.3282,180,bottom
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,105.863751,17.96156,45,bottom
